area;acertos;min;max;media;ano
MT;4;345,9;514,1;387,28;2009
MT;5;345,9;540,9;398,17;2009
MT;6;345,9;567,1;410,18;2009
MT;7;346,0;593;423,16;2009
MT;8;346,0;614,3;435,52;2009
MT;9;346,6;641;450,63;2009
MT;10;347,1;655,1;466,08;2009
MT;11;346,6;671,4;483,67;2009
MT;12;348,0;682,8;502,62;2009
MT;13;347,6;698,7;523,79;2009
MT;14;349,8;702,8;547,61;2009
MT;15;349,6;718,9;574,29;2009
MT;16;355,2;732,7;602,15;2009
MT;17;355,8;743,5;630,43;2009
MT;18;359,2;753,8;656,85;2009
MT;19;382,3;769,7;681,63;2009
MT;20;385,6;773,2;702,07;2009
MT;21;448,8;781,6;719,25;2009
MT;22;486,5;794,7;734,5;2009
MT;23;536,2;802,1;747,45;2009
MT;24;525,0;808,4;759,62;2009
MT;25;690,1;818,1;770,66;2009
MT;26;694,0;823,4;780,89;2009
MT;27;685,9;829;790,52;2009
MT;28;737,3;842,2;799,76;2009
MT;29;753,1;847,2;808,6;2009
MT;30;758,3;859,6;817,8;2009
MT;31;775,8;865,2;826,72;2009
MT;32;796,5;870,4;835,88;2009
MT;33;805,6;880,5;845,31;2009
MT;34;804,6;893,4;855,34;2009
MT;35;817,7;906,7;863,57;2009
MT;36;826,5;910,5;875,17;2009
MT;37;845,8;931,3;884,36;2009
MT;38;859,4;940,3;896,4;2009
MT;39;850,5;959,5;906,98;2009
MT;40;882,9;963,6;923;2009
MT;41;908,3;974,5;938,54;2009
MT;42;912,1;972;943,47;2009
MT;43;945,0;983,2;968,25;2009
MT;44;979,7;985,1;982,4;2009
CH;0;341,2;341,2;341,2;2015
CH;1;341,2;388,1;347,51;2015
CH;2;341,3;417,3;355,78;2015
CH;3;341,4;431,9;363,94;2015
CH;4;341,8;457,7;373,67;2015
CH;5;341,9;470,4;383,89;2015
CH;6;342,3;484,6;394,55;2015
CH;7;343,1;501,7;406,68;2015
CH;8;343,7;517,2;419,38;2015
CH;9;343,9;525,1;433,19;2015
CH;10;349,0;540,8;447,85;2015
CH;11;351,3;548,8;462,93;2015
CH;12;350,0;555,6;478,42;2015
CH;13;350,8;565;493,72;2015
CH;14;352,3;575,4;508,92;2015
CH;15;360,8;586,7;523,21;2015
CH;16;371,9;594,7;536,63;2015
CH;17;377,6;599,4;549,18;2015
CH;18;394,2;608;560,58;2015
CH;19;424,2;616,7;571,12;2015
CH;20;454,6;627,2;580,68;2015
CH;21;492,7;628,9;589,51;2015
CH;22;500,7;641,6;597,71;2015
CH;23;529,8;643,6;605,41;2015
CH;24;551,1;652,5;612,69;2015
CH;25;562,4;658,2;619,74;2015
CH;26;581,5;662;626,58;2015
CH;27;589,3;670,4;633,4;2015
CH;28;598,5;677;640,1;2015
CH;29;606,3;682,3;646,88;2015
CH;30;613,8;689,6;653,73;2015
CH;31;616,8;695,2;660,65;2015
CH;32;630,5;701,9;667,89;2015
CH;33;636,8;709,5;675,39;2015
CH;34;643,8;717,2;683,15;2015
CH;35;645,9;722,9;691,42;2015
CH;36;660,4;732,3;700,02;2015
CH;37;668,2;743,3;709,62;2015
CH;38;683,2;750,7;719,98;2015
CH;39;687,6;762;731,11;2015
CH;40;702,7;777,5;743,9;2015
CH;41;713,5;793,6;758,16;2015
CH;42;738,2;808,4;774,89;2015
CH;43;758,7;823,3;794,33;2015
CH;44;788,5;837,4;821,25;2015
CH;45;850,6;850,6;850,6;2015
CN;0;336,5;336,5;336,5;2015
CN;1;336,5;380,3;346,34;2015
CN;2;336,5;415,9;354,51;2015
CN;3;336,5;436,3;363,42;2015
CN;4;336,8;454;373,37;2015
CN;5;336,7;469,8;383,81;2015
CN;6;337,5;485,4;394,95;2015
